code,ind_code,ind_name
000998,801016,种植业
002041,801016,种植业
002772,801016,种植业
300087,801016,种植业
300189,801016,种植业
300511,801016,种植业
300970,801016,种植业
600108,801016,种植业
600313,801016,种植业
600354,801016,种植业
600359,801016,种植业
600371,801016,种植业
600540,801016,种植业
600598,801016,种植业
601118,801016,种植业
601952,801016,种植业
603336,801016,种植业
600883,801016,种植业
002215,801016,种植业
000713,801016,种植业
002069,801015,渔业
300094,801015,渔业
600097,801015,渔业
600257,801015,渔业
600467,801015,渔业
000798,801015,渔业
002679,801011,林业Ⅱ
600265,801011,林业Ⅱ
000663,801011,林业Ⅱ
000592,801011,林业Ⅱ
002100,801014,饲料
002311,801014,饲料
002385,801014,饲料
002548,801014,饲料
002567,801014,饲料
002891,801014,饲料
300673,801014,饲料
603363,801014,饲料
603609,801014,饲料
603668,801014,饲料
001313,801014,饲料
002696,801014,饲料
603151,801014,饲料
001366,801014,饲料
301498,801014,饲料
688156,801014,饲料
000876,801014,饲料
000702,801014,饲料
000505,801012,农产品加工
000911,801012,农产品加工
000930,801012,农产品加工
000972,801012,农产品加工
002286,801012,农产品加工
002481,801012,农产品加工
002852,801012,农产品加工
003030,801012,农产品加工
300138,801012,农产品加工
300175,801012,农产品加工
300268,801012,农产品加工
300999,801012,农产品加工
600127,801012,农产品加工
600191,801012,农产品加工
600251,801012,农产品加工
600737,801012,农产品加工
600962,801012,农产品加工
605198,801012,农产品加工
603182,801012,农产品加工
001338,801012,农产品加工
603231,801012,农产品加工
002086,801012,农产品加工
000019,801012,农产品加工
001201,801017,养殖业
002124,801017,养殖业
002157,801017,养殖业
002234,801017,养殖业
002299,801017,养殖业
002321,801017,养殖业
002458,801017,养殖业
002714,801017,养殖业
002746,801017,养殖业
002982,801017,养殖业
300313,801017,养殖业
300498,801017,养殖业
300761,801017,养殖业
300967,801017,养殖业
600965,801017,养殖业
600975,801017,养殖业
605296,801017,养殖业
301116,801017,养殖业
603477,801017,养殖业
000048,801017,养殖业
603717,801017,养殖业
000735,801017,养殖业
002868,801018,动物保健Ⅱ
300119,801018,动物保健Ⅱ
300871,801018,动物保健Ⅱ
600195,801018,动物保健Ⅱ
600201,801018,动物保健Ⅱ
603566,801018,动物保健Ⅱ
688098,801018,动物保健Ⅱ
688526,801018,动物保健Ⅱ
002688,801018,动物保健Ⅱ
300021,801019,农业综合Ⅱ
002556,801019,农业综合Ⅱ
000545,801033,化学原料
000635,801033,化学原料
000683,801033,化学原料
000707,801033,化学原料
000818,801033,化学原料
000822,801033,化学原料
000830,801033,化学原料
000990,801033,化学原料
001217,801033,化学原料
002092,801033,化学原料
002109,801033,化学原料
002136,801033,化学原料
002145,801033,化学原料
002386,801033,化学原料
002601,801033,化学原料
002748,801033,化学原料
003017,801033,化学原料
300082,801033,化学原料
300891,801033,化学原料
300927,801033,化学原料
301069,801033,化学原料
301118,801033,化学原料
600075,801033,化学原料
600319,801033,化学原料
600328,801033,化学原料
600367,801033,化学原料
600610,801033,化学原料
600618,801033,化学原料
600623,801033,化学原料
600714,801033,化学原料
600727,801033,化学原料
600746,801033,化学原料
600844,801033,化学原料
600929,801033,化学原料
600935,801033,化学原料
600955,801033,化学原料
600989,801033,化学原料
601216,801033,化学原料
601568,801033,化学原料
601678,801033,化学原料
603067,801033,化学原料
603213,801033,化学原料
603299,801033,化学原料
603663,801033,化学原料
301256,801033,化学原料
000691,801033,化学原料
002274,801033,化学原料
002648,801033,化学原料
600409,801033,化学原料
600722,801033,化学原料
603938,801033,化学原料
601065,801033,化学原料
603113,801033,化学原料
301190,801033,化学原料
600423,801033,化学原料
600784,801033,化学原料
000510,801033,化学原料
000881,801034,化学制品
001218,801034,化学制品
002037,801034,化学制品
002054,801034,化学制品
002096,801034,化学制品
002165,801034,化学制品
002211,801034,化学制品
002226,801034,化学制品
002246,801034,化学制品
002319,801034,化学制品
002326,801034,化学制品
002360,801034,化学制品
002407,801034,化学制品
002440,801034,化学制品
002453,801034,化学制品
002455,801034,化学制品
002549,801034,化学制品
002562,801034,化学制品
002597,801034,化学制品
002637,801034,化学制品
002666,801034,化学制品
002669,801034,化学制品
002683,801034,化学制品
002783,801034,化学制品
002802,801034,化学制品
002809,801034,化学制品
002810,801034,化学制品
002827,801034,化学制品
002909,801034,化学制品
002915,801034,化学制品
002917,801034,化学制品
002971,801034,化学制品
003002,801034,化学制品
300019,801034,化学制品
300041,801034,化学制品
300067,801034,化学制品
300107,801034,化学制品
300109,801034,化学制品
300163,801034,化学制品
300169,801034,化学制品
300174,801034,化学制品
300200,801034,化学制品
300225,801034,化学制品
300321,801034,化学制品
300405,801034,化学制品
300522,801034,化学制品
300535,801034,化学制品
300641,801034,化学制品
300665,801034,化学制品
300721,801034,化学制品
300727,801034,化学制品
300741,801034,化学制品
300758,801034,化学制品
300798,801034,化学制品
300801,801034,化学制品
300821,801034,化学制品
300829,801034,化学制品
300848,801034,化学制品
300858,801034,化学制品
300910,801034,化学制品
301036,801034,化学制品
301037,801034,化学制品
301059,801034,化学制品
301076,801034,化学制品
301077,801034,化学制品
301100,801034,化学制品
301149,801034,化学制品
600160,801034,化学制品
600165,801034,化学制品
600230,801034,化学制品
600273,801034,化学制品
600299,801034,化学制品
600309,801034,化学制品
600352,801034,化学制品
600378,801034,化学制品
600500,801034,化学制品
600866,801034,化学制品
603020,801034,化学制品
603041,801034,化学制品
603110,801034,化学制品
603155,801034,化学制品
603188,801034,化学制品
603192,801034,化学制品
603217,801034,化学制品
603227,801034,化学制品
603379,801034,化学制品
603505,801034,化学制品
603681,801034,化学制品
603683,801034,化学制品
603790,801034,化学制品
603822,801034,化学制品
603823,801034,化学制品
603867,801034,化学制品
603916,801034,化学制品
603948,801034,化学制品
603968,801034,化学制品
603977,801034,化学制品
603980,801034,化学制品
605016,801034,化学制品
605020,801034,化学制品
605077,801034,化学制品
605366,801034,化学制品
605399,801034,化学制品
605566,801034,化学制品
688065,801034,化学制品
688089,801034,化学制品
688129,801034,化学制品
688133,801034,化学制品
688157,801034,化学制品
688179,801034,化学制品
688196,801034,化学制品
688199,801034,化学制品
688350,801034,化学制品
688398,801034,化学制品
688571,801034,化学制品
688625,801034,化学制品
688639,801034,化学制品
688659,801034,化学制品
301206,801034,化学制品
688267,801034,化学制品
603051,801034,化学制品
301212,801034,化学制品
301286,801034,化学制品
301156,801034,化学制品
301220,801034,化学制品
603235,801034,化学制品
002166,801034,化学制品
002591,801034,化学制品
300214,801034,化学制品
300596,801034,化学制品
300610,801034,化学制品
300637,801034,化学制品
600873,801034,化学制品
603010,801034,化学制品
603181,801034,化学制品
603260,801034,化学制品
603722,801034,化学制品
603739,801034,化学制品
688269,801034,化学制品
688357,801034,化学制品
603255,801034,化学制品
301209,801034,化学制品
301283,801034,化学制品
603281,801034,化学制品
301373,801034,化学制品
603065,801034,化学制品
603125,801034,化学制品
603172,801034,化学制品
300343,801034,化学制品
301518,801034,化学制品
300072,801034,化学制品
603276,801034,化学制品
603062,801034,化学制品
001358,801034,化学制品
603004,801034,化学制品
603285,801034,化学制品
002430,801034,化学制品
002497,801034,化学制品
603079,801034,化学制品
002001,801034,化学制品
603310,801034,化学制品
301618,801034,化学制品
301617,801034,化学制品
301585,801034,化学制品
001335,801034,化学制品
603120,801034,化学制品
688602,801034,化学制品
603334,801034,化学制品
301683,801034,化学制品
300886,801034,化学制品
000565,801034,化学制品
000677,801032,化学纤维
000782,801032,化学纤维
000936,801032,化学纤维
002064,801032,化学纤维
002206,801032,化学纤维
002427,801032,化学纤维
002998,801032,化学纤维
300876,801032,化学纤维
301057,801032,化学纤维
600063,801032,化学纤维
600810,801032,化学纤维
603225,801032,化学纤维
603332,801032,化学纤维
605166,801032,化学纤维
688722,801032,化学纤维
688295,801032,化学纤维
600370,801032,化学纤维
603073,801032,化学纤维
002254,801032,化学纤维
000949,801032,化学纤维
300905,801032,化学纤维
603382,801032,化学纤维
603406,801032,化学纤维
601113,801032,化学纤维
001369,801032,化学纤维
000420,801032,化学纤维
000973,801036,塑料
002108,801036,塑料
002263,801036,塑料
002324,801036,塑料
002361,801036,塑料
002395,801036,塑料
002522,801036,塑料
002585,801036,塑料
002632,801036,塑料
002768,801036,塑料
002825,801036,塑料
002838,801036,塑料
002886,801036,塑料
300180,801036,塑料
300218,801036,塑料
300221,801036,塑料
300230,801036,塑料
300243,801036,塑料
300305,801036,塑料
300478,801036,塑料
300487,801036,塑料
300538,801036,塑料
300539,801036,塑料
300586,801036,塑料
300644,801036,塑料
300717,801036,塑料
300806,801036,塑料
300920,801036,塑料
300980,801036,塑料
300995,801036,塑料
301003,801036,塑料
301019,801036,塑料
301092,801036,塑料
600135,801036,塑料
600143,801036,塑料
601208,801036,塑料
603330,801036,塑料
603580,801036,塑料
603879,801036,塑料
603928,801036,塑料
605008,801036,塑料
605589,801036,塑料
688219,801036,塑料
688323,801036,塑料
688386,801036,塑料
688585,801036,塑料
688669,801036,塑料
688718,801036,塑料
301196,801036,塑料
603150,801036,塑料
301131,801036,塑料
301237,801036,塑料
000920,801036,塑料
300834,801036,塑料
301090,801036,塑料
301216,801036,塑料
605488,801036,塑料
688203,801036,塑料
001255,801036,塑料
001333,801036,塑料
301395,801036,塑料
688716,801036,塑料
001378,801036,塑料
301555,801036,塑料
301591,801036,塑料
301538,801036,塑料
001359,801036,塑料
301565,801036,塑料
601026,801036,塑料
301687,801036,塑料
603435,801036,塑料
000859,801036,塑料
002068,801037,橡胶
002224,801037,橡胶
002381,801037,橡胶
002442,801037,橡胶
002753,801037,橡胶
300121,801037,橡胶
300320,801037,橡胶
300587,801037,橡胶
300731,801037,橡胶
300767,801037,橡胶
603033,801037,橡胶
603650,801037,橡胶
605183,801037,橡胶
301300,801037,橡胶
301459,801037,橡胶
001325,801037,橡胶
001207,801037,橡胶
000553,801038,农化制品
000731,801038,农化制品
000792,801038,农化制品
000893,801038,农化制品
000902,801038,农化制品
000912,801038,农化制品
002170,801038,农化制品
002250,801038,农化制品
002258,801038,农化制品
002312,801038,农化制品
002391,801038,农化制品
002470,801038,农化制品
002496,801038,农化制品
002513,801038,农化制品
002538,801038,农化制品
002539,801038,农化制品
002588,801038,农化制品
002734,801038,农化制品
002749,801038,农化制品
002895,801038,农化制品
002942,801038,农化制品
002999,801038,农化制品
003042,801038,农化制品
300261,801038,农化制品
300387,801038,农化制品
300505,801038,农化制品
300575,801038,农化制品
300796,801038,农化制品
301035,801038,农化制品
600078,801038,农化制品
600096,801038,农化制品
600141,801038,农化制品
600389,801038,农化制品
600470,801038,农化制品
600486,801038,农化制品
600691,801038,农化制品
600731,801038,农化制品
603086,801038,农化制品
603360,801038,农化制品
603585,801038,农化制品
603599,801038,农化制品
603639,801038,农化制品
603810,801038,农化制品
603970,801038,农化制品
605033,801038,农化制品
000422,801038,农化制品
002545,801038,农化制品
600227,801038,农化制品
600331,801038,农化制品
600426,801038,农化制品
603077,801038,农化制品
001231,801038,农化制品
300804,801038,农化制品
600596,801038,农化制品
603395,801038,农化制品
301665,801038,农化制品
002758,801038,农化制品
000408,801038,农化制品
000525,801038,农化制品
603612,801039,非金属材料Ⅱ
603688,801039,非金属材料Ⅱ
603826,801039,非金属材料Ⅱ
605086,801039,非金属材料Ⅱ
688300,801039,非金属材料Ⅱ
001296,801039,非金属材料Ⅱ
688598,801039,非金属材料Ⅱ
301071,801039,非金属材料Ⅱ
000655,801043,冶钢原料
000923,801043,冶钢原料
001203,801043,冶钢原料
600295,801043,冶钢原料
600516,801043,冶钢原料
601969,801043,冶钢原料
600382,801043,冶钢原料
601121,801043,冶钢原料
000629,801043,冶钢原料
000717,801044,普钢
000761,801044,普钢
000778,801044,普钢
000898,801044,普钢
000932,801044,普钢
000959,801044,普钢
002110,801044,普钢
600010,801044,普钢
600019,801044,普钢
600022,801044,普钢
600126,801044,普钢
600231,801044,普钢
600307,801044,普钢
600569,801044,普钢
600581,801044,普钢
600782,801044,普钢
600808,801044,普钢
601003,801044,普钢
601005,801044,普钢
601686,801044,普钢
603878,801044,普钢
000709,801044,普钢
000825,801045,特钢Ⅱ
002075,801045,特钢Ⅱ
002318,801045,特钢Ⅱ
002443,801045,特钢Ⅱ
002478,801045,特钢Ⅱ
300881,801045,特钢Ⅱ
600117,801045,特钢Ⅱ
600399,801045,特钢Ⅱ
600507,801045,特钢Ⅱ
603995,801045,特钢Ⅱ
600282,801045,特钢Ⅱ
000708,801045,特钢Ⅱ
000795,801051,金属新材料
000969,801051,金属新材料
000970,801051,金属新材料
300127,801051,金属新材料
300224,801051,金属新材料
300748,801051,金属新材料
300811,801051,金属新材料
300835,801051,金属新材料
300855,801051,金属新材料
300930,801051,金属新材料
300963,801051,金属新材料
600255,801051,金属新材料
600366,801051,金属新材料
601137,801051,金属新材料
603045,801051,金属新材料
603978,801051,金属新材料
688077,801051,金属新材料
688190,801051,金属新材料
688231,801051,金属新材料
688102,801051,金属新材料
688786,801051,金属新材料
301141,801051,金属新材料
301323,801051,金属新材料
