code,name,gap_down_date,gap_down_prev_low,gap_down_high,gap_down_pct,gap_up_date,gap_up_prev_high,gap_up_low,gap_up_pct,island_days,island_max_high,volume_ratio,gap_up_volume,gap_up_close
001232,嘉立创,2026-08-19,167.51,165.37,1.28,2026-08-28,162.03,165.97,2.43,7,165.37,2.63,13931195,175.01
920021,流金科技,2026-08-14,7.36,7.28,1.09,2026-08-28,6.7,6.72,0.3,10,7.28,2.44,15898708,6.81
920207,众诚科技,2026-08-21,21.23,20.62,2.87,2026-08-28,21.15,21.6,2.13,5,21.15,2.33,3398309,21.6
300475,香农芯创,2026-08-19,169.55,166.0,2.09,2026-08-28,165.64,166.04,0.24,7,166.0,2.2,42824015,172.1
002636,金安国纪,2026-07-20,80.6,78.99,2.0,2026-08-28,69.41,72.0,3.73,29,78.99,2.12,95212222,73.18
301566,达利凯普,2026-08-19,26.94,26.88,0.22,2026-08-28,25.68,26.08,1.56,7,26.88,2.03,31707293,26.13
688183,生益电子,2026-08-19,112.77,111.8,0.86,2026-08-27,107.99,109.1,1.03,6,111.8,2.95,34870256,121.69
688008,澜起科技,2026-08-19,216.39,210.81,2.58,2026-08-27,202.03,202.79,0.38,6,210.81,2.49,67268834,221.22
920396,常辅股份,2026-08-19,20.51,20.5,0.05,2026-08-26,19.26,19.91,3.37,5,20.5,3.12,3000985,19.91
301031,中熔电气,2026-07-16,94.54,91.24,3.49,2026-08-26,90.64,94.74,4.52,29,94.44,2.97,6255997,96.0
301137,哈焊华通,2026-08-19,34.13,33.73,1.17,2026-08-26,30.27,31.37,3.63,5,33.73,2.71,10028517,31.72
301082,久盛电气,2026-08-14,10.56,10.55,0.09,2026-08-26,9.58,9.65,0.73,8,10.55,2.65,19729740,9.65
300963,中洲特材,2026-08-19,11.73,11.69,0.34,2026-08-26,11.48,11.53,0.44,5,11.69,2.56,15448837,11.59
002132,恒星科技,2026-07-13,5.42,5.38,0.74,2026-08-24,4.83,5.03,4.14,30,5.38,3.04,212438097,5.2
