event_date,code,symbol,name,symbol_name,label,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars
2026-04-21,003006,003006,百亚股份,百亚股份,百亚股份 孤岛反转,2026-04-22,2026-04-29,18.64,18.35,-1.56,5
2026-04-21,600941,600941,中国移动,中国移动,中国移动 孤岛反转,2026-04-22,2026-04-29,93.99,94.43,0.47,5
2026-04-21,300533,300533,冰川网络,冰川网络,冰川网络 孤岛反转,2026-04-22,2026-04-29,20.71,19.09,-7.82,5
2026-04-22,920003,920003,中诚咨询,中诚咨询,中诚咨询 孤岛反转,2026-04-23,2026-04-30,21.33,21.17,-0.75,5
2026-04-22,600638,600638,新黄浦,新黄浦,新黄浦 孤岛反转,2026-04-23,2026-04-30,6.3,6.21,-1.43,5
2026-04-22,300496,300496,中科创达,中科创达,中科创达 孤岛反转,2026-04-23,2026-04-30,64.32,63.73,-0.92,5
2026-04-23,600559,600559,老白干酒,老白干酒,老白干酒 孤岛反转,2026-04-24,2026-05-06,13.72,13.27,-3.28,5
2026-04-23,688581,688581,安杰思,安杰思,安杰思 孤岛反转,2026-04-24,2026-05-06,56.5,59.24,4.85,5
2026-04-23,300607,300607,拓斯达,拓斯达,拓斯达 孤岛反转,2026-04-24,2026-05-06,28.74,29.52,2.71,5
2026-04-23,301330,301330,熵基科技,熵基科技,熵基科技 孤岛反转,2026-04-24,2026-05-06,35.52,30.76,-13.4,5
2026-04-23,300482,300482,万孚生物,万孚生物,万孚生物 孤岛反转,2026-04-24,2026-05-06,18.09,18.13,0.22,5
2026-04-23,000066,000066,中国长城,中国长城,中国长城 孤岛反转,2026-04-24,2026-05-06,17.36,21.8,25.58,5
2026-04-23,000799,000799,酒鬼酒,酒鬼酒,酒鬼酒 孤岛反转,2026-04-24,2026-05-06,43.04,42.51,-1.23,5
2026-04-23,301302,301302,华如科技,华如科技,华如科技 孤岛反转,2026-04-24,2026-05-06,25.06,26.15,4.35,5
2026-04-23,601127,601127,赛力斯,赛力斯,赛力斯 孤岛反转,2026-04-24,2026-05-06,91.58,87.21,-4.77,5
2026-04-23,300034,300034,钢研高纳,钢研高纳,钢研高纳 孤岛反转,2026-04-24,2026-05-06,19.97,20.07,0.5,5
2026-04-23,600809,600809,山西汾酒,山西汾酒,山西汾酒 孤岛反转,2026-04-24,2026-05-06,134.25,134.12,-0.1,5
2026-04-23,600446,600446,金证股份,金证股份,金证股份 孤岛反转,2026-04-24,2026-05-06,13.46,13.83,2.75,5
2026-04-23,688047,688047,龙芯中科,龙芯中科,龙芯中科 孤岛反转,2026-04-24,2026-05-06,162.0,180.91,11.67,5
2026-04-23,603369,603369,今世缘,今世缘,今世缘 孤岛反转,2026-04-24,2026-05-06,25.11,26.45,5.34,5
2026-04-23,600893,600893,航发动力,航发动力,航发动力 孤岛反转,2026-04-24,2026-05-06,50.29,46.76,-7.02,5
2026-04-24,688269,688269,凯立新材,凯立新材,凯立新材 孤岛反转,2026-04-27,2026-05-07,41.31,41.89,1.4,5
2026-04-24,002490,002490,山东墨龙,山东墨龙,山东墨龙 孤岛反转,2026-04-27,2026-05-07,10.03,9.72,-3.09,5
2026-04-27,300957,300957,贝泰妮,贝泰妮,贝泰妮 孤岛反转,2026-04-28,2026-05-08,43.0,41.72,-2.98,5
2026-04-27,603817,603817,海峡环保,海峡环保,海峡环保 孤岛反转,2026-04-28,2026-05-08,7.22,7.38,2.22,5
2026-04-27,688110,688110,东芯股份,东芯股份,东芯股份 孤岛反转,2026-04-28,2026-05-08,132.52,154.83,16.84,5
2026-04-27,300860,300860,锋尚文化,锋尚文化,锋尚文化 孤岛反转,2026-04-28,2026-05-08,24.69,25.57,3.56,5
2026-04-27,600761,600761,安徽合力,安徽合力,安徽合力 孤岛反转,2026-04-28,2026-05-08,17.22,18.73,8.77,5
2026-04-27,603486,603486,科沃斯,科沃斯,科沃斯 孤岛反转,2026-04-28,2026-05-08,68.35,66.09,-3.31,5
